分词,评分,评论时间
柚子 收到 包装 完好无损 果子 新鲜 份 景足 客服 工作 认真 服务 到位 运输 中 出现 问题 及时 妥善 处理 点 大大 赞,5,2023-11-02 15:56:20
左边 实体店 买 右边 卖家 发 优惠 换 购 超级 实惠 只 实体 小 圈 价格 优惠 千分之一五星 好评,5,2023-10-25 22:13:13
红心柚 子 已 收到 柚子 头 大 颜色 好看 口感 应该 不错 商家 发货 及时 物流 快捷 给力 商家 物流 公司 服务 满意,5,2023-10-24 12:31:35
酸 涩,1,2023-11-08 00:10:44
水气 很 足 挺 甜,5,2023-11-08 00:04:20
味道 好 农场 换购 很 正,5,2023-11-07 23:45:36
大汁 味 美,5,2023-11-07 23:21:23
柚子 个头 不 大 很 饱满 很 新鲜,5,2023-11-07 22:39:39
第一 次 遇到 农场 水果 差 外皮 块 地方 都 腐败 发 黄 剥 开 发现 里面 腐烂 地方 果肉 已经 股 酸 臭味,1,2023-11-07 22:25:47
吃 再 评价,5,2023-11-07 22:24:59
很 新鲜 发货 快 点 微酸 很 新鲜,5,2023-11-07 22:12:10
味道 不错 会 回购,5,2023-11-07 22:09:15
很 好 满意,5,2023-11-07 21:45:01
柚子 收到 比较 新鲜 水分 酸酸甜甜 味道 不错,5,2023-11-07 21:10:02
红心柚 子 收到 包装 挺 好 非常 新鲜 物美价廉物流 非常 快 柚子皮 特别 薄 个头 大 小 均匀 果肉 挺 饱满 口感 适中 非常 不错,5,2023-10-03 13:17:17
好 大 只 柚子 非常 新鲜 物美价廉物流 非常 快 家人 都 非常 满意 以后 会 经常 京东 购买 水果 哒 非常 不错 值得 推荐 太 棒,5,2023-09-24 12:36:16
京东 上 出来 原先 橙子 后来 好 没 货 选择 红心柚 子 样子 看上去 不错 切开 闻 扑鼻 香味 口感 酸酸甜甜 非常 不错 下次 再 买 吃,5,2023-09-27 05:11:45
京东 上 辛苦 水果 本来 苹果 兑换 时 却 地址 原因 苹果 不 兑 选 柚子 看 还 不错 还 想 放 天 再 吃,5,2023-10-04 15:03:58
柚子皮 柔软 易 剥 够 新鲜柚 子肉 颗粒 饱满 水分 充足 果肉 酸甜 适度 柚香 浓郁 榨汁 后 非常 美味 买 值,5,2023-10-03 11:12:23
京东 农场 种植 兑 美元 换 果实 真是 意外 惊喜 柚子 大 个头 外观 颜值 高皮 薄肉厚 水份 充足 入口 清 甜 好评,5,2023-09-30 17:21:18
京东 水果 出来 柚子 表面 看 起来 还 不错 还 不 知道 味道 放 天 辞 下水 口感 应该 甜 反正 不 钱 每天 有空 去 果树 免费 东西 不要 白 不要,5,2023-09-29 09:11:50
白薅 回来 东西 知道,3,2023-11-07 19:33:05
宝贝 收到 商家 发货 挺 快 本来 以为 斤 大概 收货 比较 大 秤 一下 正好 斤柚子 看上去 挺 不错 还 没有 吃 口感 不 知道 咋样,5,2023-09-22 15:13:22
东西 看 还 不错 柚子 看 比较 新鲜 发货 蛮 及时 外面 纸盒 不 很 厚实 收到 已经 摔 烂 好 柚子皮 比较 厚 不 受 影响,5,2023-09-19 20:22:00
超级 无敌酸皮 软 应该 成熟 肉 粉红色 类 柠檬,5,2023-11-07 19:07:51
京东 果园 已 收到,5,2023-11-07 18:38:13
太酸,5,2023-11-07 18:23:52
大柚子 收到 很 好 很 新鲜,5,2023-11-07 18:15:10
不 斤 个头 小 皮 比较 厚 有点 失望,3,2023-11-07 18:10:22
相当 九 块 钱 买 柚子 味道 很 酸 个人 觉得 亏麻,1,2023-11-07 17:57:21
很 新鲜 剥 开放 冰箱 三 天 后 吃 还 很 新鲜 水润,5,2023-11-07 17:57:06
皮 绿色 皮 上 斑点 整体 软品 相 不 很 好 尚未 打开 口味 不知 真相大白 后 再 追评,5,2023-11-07 17:42:26
柚子 挺 好 价廉物美 下次 别发 邮政,5,2023-11-07 17:23:22
收到 快递 看 包装 很 好 大 开 看 柚子 外面 伤洞 不 知道 里面 会 坏 掉,5,2023-11-07 17:22:41
唔 错 唔 错,5,2023-11-07 17:18:02
还,4,2023-11-07 17:02:49
免费 送 已经 吃 好吃,5,2023-11-07 16:18:22
柚子 很 新鲜 红柚 谢谢 老板,5,2023-11-07 15:26:43
很 好 零 近 快递 有点 慢 还 好 准时 收到 口感 不错 喜欢,5,2023-11-07 15:24:49
总体 还 还 没 吃 吃 后 评价 希望 好吃,5,2023-11-07 15:24:13
红心蜜柚 收到 口感 不错 酸 甜 个头 挺 大 店家 态度 很 好 物流 速度 很 快 快递 小哥 服务 态度 特别 好 不错 满意,5,2023-09-30 19:23:15
收到 水果 外包装 完好无损 独立 包装 沙田柚 无 坏果 果型 饱满 红柚 沙田柚 不 好 甜 酸甜 汁 果香 诱人 家 老小 都 喜欢 吃 下次 还 会 回购 快递 迅速 下 单 后 没有 好久 收到 货,5,2023-10-06 23:31:33
玖 原 农珍 福建 馆溪 红心 蜜柚 含箱 斤柚子 东东 农场 出来 看 不错 好吃 话 再 买 京东 送货 很快 买 十 年 会员 买 都 方便,5,2023-09-22 12:37:37
收到 宝贝 闻 香味 两 天 再 吃 快递 超 快果 子 大 看 不错 好评 现在 正是 吃 柚子 季节 回购 推荐 友友 买 次 京东 果树 种发,5,2023-09-12 20:29:55
还 比较 新鲜 产品 质量 不错 价格 实惠 还 比较 新鲜 酸酸甜甜的 好吃 呢柚子 分量 足 物流 很快 包装 严实 口感 甜 红心,5,2023-09-04 14:49:38
红心柚 子 收到 包装 挺 好 柚子皮 特别 薄 里 后 里边 果肉 都 红红的 柚子 头 大 小 均匀 捧 挺重 迫不及待 切开 皮 薄 果肉 挺 饱满 非常 不错 口感 适中,5,2023-09-29 10:05:07
柚子 味道 很 好 很 好吃 看 比较 新鲜 下次 还 会 购买 相对 来说 皮 厚 皮 再 薄 一点儿 好 包装 挺 好 发货 快,5,2023-09-17 12:16:41
物流 发 邮政所 稍微 慢 一点 包装 话 有待 加强 柚子 还 不错 头 大 爆满 里面 果肉 汁水 充足 酸酸甜甜 很 不错,5,2023-10-06 20:12:02
柚子 收到 斤 半 还 挺 好 没有 打开 不知 是否 红心 标注 红心 应该 不 会 错 好吃 再 谢谢 卖家 谢谢 快递 小哥,5,2023-09-12 16:57:58
柚子 诱人 柚惑 难挡 打开 纸箱 香味 气 似 雨 飘落 饱满 金黄 柚子 大自然 神奇 馈赠 不尽 漂亮 着迷 谢谢 果农 谢谢 商家 谢谢 快递 小 哥模 一下 柚子 头皮 点 青 估计 放 天 嗅 完 时间 香味 再 品尝 会 更 好吃,5,2023-09-11 03:13:54
品尝 再 补 评价,5,2023-11-07 10:59:39
宝贝 收到 很 惊喜 质量 非常 好 很 满意 次 购物 会 继续 回购 店家 值得 信赖,5,2023-11-07 10:51:07
东西 很 不错 想 那种 优惠券 记得 第一 时间 告诉,5,2023-11-07 10:43:03
口感 略微 带 点 酸 总体 不错,5,2023-11-07 10:35:25
柚子 还 没有 吃 不 知道 味道 吃 再 追评,5,2023-11-07 10:09:26
没 东西,5,2023-11-07 09:09:49
不好 吃 酸 苦 丢掉,3,2023-11-07 08:36:51
般 微酸,3,2023-11-07 08:15:35
味道 马马虎虎,5,2023-11-07 01:51:21
抽奖 抽 比较 小 还 没 吃 希望 甜 哈哈哈,5,2023-11-06 23:48:34
很 大 柚子 品质 很 好吃 很 甜 满意,5,2023-11-06 23:29:18
大 品牌 值得 信赖 效果 超级 好 贵 贵 道理 很 棒 商品 客服 服务 态度 很 好 快递 不 赖 希望 老板 生意 越来越 好 材质 结实 手感 好 很 得劲 物流 快 性价比 很 高 值得 购买 终于 收到 货 非常 非常 喜欢 做工 精致 漂亮 已经 很多 人 夸 真的 太 开心 已经 他家 忠实 粉丝 以后 还 会 继续 买 买 买,5,2023-09-21 21:37:41
红心柚 子 收到 包装 很 好 物流 很快 柚子 还 没 吃 看到 大 漂亮 很 满意 谢谢 京东 平台 带来 快乐 感谢 良心 商家 服务,5,2023-09-19 17:57:21
净果 重斤 外观 符合 选择 标准 果柄 位置 不 尖 基本 长圆 成熟 辛勤 劳动 最 满意 次 感谢 东东 农场 以后 会 继续 努力 助 果农,5,2023-10-04 09:25:57
好 非常 好 物流 快 没 损伤 完好无缺 不 没有 开 吃 长 好看 放 两 叁 天 先,5,2023-10-02 21:00:37
甜 不 酸肉 皮 薄 味道 很 鲜水 份 很 水且 好吃,5,2023-11-06 09:13:03
红心 大果 收到 质量 很 好 大 包 满 水分 足 物流 很快 包装 好 服务 一流 店铺 点 赞,5,2023-11-05 12:24:29
很 大 柚子 不错 吃 后 加 追评,5,2023-10-03 16:22:53
柚子 收到 非常 好吃 下次 继续 购买,5,2023-10-01 20:47:19
果园 水果 发货 货 都 很快 外包装 完好 无 破损 很 不错 柚子 个头 挺 大 皮 稍 厚 果肉 饱满 水分 比较 味道 酸酸甜甜蛮 好吃 满意,5,2023-09-30 22:28:41
物流 很快 包装 完好 试 吃 很 不错 总体 感觉 物有所值,5,2023-09-16 20:34:53
柚子 收到 包装 完好 物流 很快 服务 态度 很 好 水果 很 新鲜 图片 描述 很 满意,5,2023-10-02 12:04:46
宝贝 收到 很 惊喜 质量 非常 好 很 满意 次 购物 第一 次 网上 买德芙 巧克力 之前 超市 里 看 德芙 巧克力 好 四五十 块 钱 斤 觉得 有点 贵 网上 搜 搜 发现 这家 巧克力 价格 便宜 实惠 买 八 斤 收到 打开 尝尝 味道 还 不错 正 品德芙 味道 很 实惠 八 斤 还 不 两百 块 以后 需要 再 会 继续 回购 店家 值得 信赖 宝贝 收到 实物 描述 每年 都 必 买 这家 发货 速度 很快 物美价 优 值得 大家 回来 购买 希望 店家 更 优惠 活动,5,2023-09-15 18:22:42
太 好吃 还 很 大 快递 很快 快递员 辛苦,5,2023-09-08 19:29:01
柚子 分量 足 物流 很快 包装 严实 口感 甜 红心,5,2023-09-01 17:59:47
很 好 新鲜 物流 快 未 食 未知 酸否,5,2023-09-01 17:24:53
皮薄 肉 水分 充足 酸酸甜甜 果园 浇水 收到 很 实在 赞,5,2023-11-08 09:12:27
还 没 吃 看 起来 很 新鲜,5,2023-11-06 22:17:28
水分 充足 口感 不错 很 满意 次 购物,5,2023-11-06 09:23:46
新鲜 足量 味 美 非常 满意,5,2023-11-05 13:53:31
物流 很 快 柚子皮 很 薄 果肉 水份 大 很 甜,5,2023-11-05 13:28:44
柚子 全部 都 好 特别 新鲜 红心柚 已经 买 次 上 两 次 买 刚刚 下来 水分 还 不 特别 足 次 已经 熟 口感 特别 好 本人 非常 喜欢 还 会 再,5,2023-10-16 08:20:39
包装 好 物流 快 价格 实惠 超市 便宜 宝贝 质量 很 好 收到 货 第一 时间 打开 看 很 不错 很 满意 客服 问 必 答 感谢 宝贝 很 好 不得不 说 客服 态度 太 好 发货 很 快 包装 很 好 价格 特别 实惠 功效 不错 值得 购买 很 好 物流 很快 东西 很 给力 性价比 很 高 发货 很 快 包装 很 好 价格 特别 实惠 功效 不错 值得 购买 发货 很 快 包装 很 好 价格 特别 实惠 功效 不错 值得 购买 宝贝 质量 很 好 收到 货 第一 时间 打开 看 很 不错 很 满意 客服 问 必 答 感谢 宝贝 质量 很 好 收到 货 第一 时间 打开 看 很 不错 很 满意 客服 问 必 答 感谢 发货 很快 两三 天 颜色 很 喜欢 性价比 很 高 非常 nice 包装 好 物流 快 价格 实惠 超市 便宜,5,2023-11-02 21:18:54
宝贝 收到 很 惊喜 质量 非常 好 很 满意 次 购物 会 继续 回购 店家 值得 信赖 不错 喜欢 性价比 高 以后 会 经常 光顾 一如既往 好 品质 非常 喜欢 款 产品 非常 棒 oo,5,2023-10-18 21:32:03
收到 柚子 中间 有点 小 问题 联系 客服 已经 顺利 解决 客服 赞柚子 很 好 红心比 白心 更 甜 味道 都 不错,5,2023-11-06 13:37:22
肚子 胖 吃 太 收到 手 吃 水分 挺 好 开 以后 别 放 太 久皮 会 干 挺 好吃 东西 看 起来 很 红 优秀 批,5,2023-10-18 21:59:59
次 回购 款 柚子 不 酸 红柚 感觉 很 新鲜 真的 很 不错 值得 推荐 大家 箱 里面 三 两 大 小 货 后 没有 坏 果点 赞,5,2023-09-24 11:59:19
味道 很 好 个头 蛮 大 人 吃 不 完 放 进 保鲜盒 推荐 朋友 起初 老板 漏发 临时 收到 出差 消息 推迟 天 老板 正常 补发 老板人 很 好 哈哈哈哈,5,2023-09-24 10:43:10
柚子 收到 还 没 拆 封 商家 说是 红心柚 具体 拆封 之后 再 评价 外表 看 价格 买 三 柚子 很 划算 截至 目前 次 相当 满意 购物 体验,5,2023-09-11 16:32:57
很 大 觉得 不大 会 斤皮 看 起来 挺 厚 可能 季节 还 没 快递 速度 很快 不 送 货 家 价格 十 斤 还,5,2023-09-10 19:17:44
柚子 皮薄 肉厚 酸酸甜甜 还 不错 箱 五 价格 点 小 贵口感 不错 算是 值得 快递 还 算 值得 推荐 购买,5,2023-08-10 21:30:34
大大小小 三 吃 口 点 酸但 还 接受,5,2023-11-09 22:32:12
很 好吃 不 酸 不 甜度 适中 水份 很 足,5,2023-11-09 21:57:53
收到 大 柚子 看 不错 吃 再 追评,5,2023-11-09 18:24:10
写 带箱 重 称 不 赔付 两 元 不 愿意 说 比例 赔付 比例 赔付 赔付 不止 元 好 点 钱 算 懒得 计较 觉得 宣传 实际 不符 每个 发出 都 不 斤 不 虚假 宣传 尝 不 甜且 苦 不 贪便宜,1,2023-11-09 13:08:32
三 两 这种 发霉,5,2023-11-09 12:30:44
水分 足 甜度 够 都 很 好,5,2023-11-09 07:54:06
中秋节 买 父母 吃 没 看见 样子 妈妈 说 还 习惯性 好评,5,2023-11-08 23:16:39
不 会 回购 太 干,4,2023-11-08 20:29:59
四 颗 柚子 很 甜 颗 白心 商家 说 补偿 天 说 小时 账 半 月 没有 账 次 买 果 很 干 不 很 新鲜 运气 好 欧皇 开 盲盒,1,2023-11-08 19:52:13
不 很 推荐 第一 次 买 质量 很 不错 次 买 刚 去 去 很 干 说 赔偿元 半 月 没有 账 不 会 再,1,2023-11-08 19:51:02
有点 干瘪 不 大 卖 相 不 知道 口味 先 了解 一下 吃 吃 看 不错 下 次 再 买 希望 比较 甜吧 价格 还 可能 放 久,5,2023-11-08 19:18:27
建议 去 市场 上 买,5,2023-11-08 18:58:27
没什么 水份 太 干,3,2023-11-08 17:55:05
价格 实惠 品质 很 好 值得 购买,5,2023-11-08 13:29:32
上面 部分 都 干,1,2023-11-07 14:17:37
思卓 红心柚 子整 箱 斤 红肉蜜柚 水果 中秋 礼盒 团购 三 红 时 令 净重 斤 两 柚子 没 八 斤 不 知道 说是 红心 第一 黄 味道 还 好评,4,2023-11-06 04:21:00
果肉 很 饱满 颗粒 饱满 味道 不错 很 香 吃 起来 很 香 很 甜,5,2023-11-05 20:37:44
斤 三 不 偷,5,2023-11-05 19:37:14
吃 起来 口味 丰富 皮 很 薄 口 下去 水分 很多 还 特别 甜 很 好吃 咬 口 味道 酸酸甜甜 口感 极 好 很 棒 比较 原 生态 很 脆 嫩 甜 特别 甜 一点儿 不 苦皮薄 肉厚 很 香 成熟度 刚好 颜值 味道 都 不错,5,2023-07-23 23:18:23
水分 超级 包装 太 喜欢 推荐 好 柚子 市场 买 不 拳头 剥 开 皮 薄 肉 柚子 头 大 小 均匀 捧 挺重 迫不及待 切开 皮 薄 果肉 挺 饱满 非常 不错 满手 果香 都 舍不得 洗手 看 很 食欲,5,2023-07-23 13:30:17
口感 好 水分 挺 足皮薄 肉 厚汁 颗粒 饱满 皮子 很 薄 破 开 股 淡淡的 清香 闻 口水 特别 酸甜 口感 不错 建议 去掉籽 温水 泡 喝 口感 很 新鲜 每天 减肥餐 吃 比较 便宜 很 喜欢 很 饱满 皮 很 薄 口 下去 水分 很多 成熟度 刚好 颜值 味道 都 不错,5,2023-07-23 13:30:06
装 很 好 柚子皮 很 薄 水分 很 足 酸甜 可口 价格 现在 店 里 便宜 太 很 容易 剥 开 很 香甜 柔软 果肉 香味 扑鼻 吃 起来 舒服 皮 很 轻松 剥 开 吃 起来 很 甜 红色 纯正 甜度 刚刚 好 真 特别 好吃 爱 隔 很 远 闻 股 清香 味道,5,2023-07-31 06:54:28
不 知道 摘 多久 蔫 吧唧,3,2023-11-02 09:41:36
红彤彤 果肉 非常 诱人 回来 被迫 不及待 开 皮薄 肉 后 颜色 非常 好看 果肉 酸甜 爽口 汁水 清香 皮 剥 开 皮 薄 肉质 鲜美 水分 店铺 服务 好 快递 物流 好 规格 重量 好 口感 味道 好,5,2023-07-25 14:48:15
都 很 新鲜 没有 坏果 头 大 小 正 合适 薄皮 吃 起来 更加 过瘾 爽口 重点 很 甜 切开 果香 弥漫 个个 都 红润 饱满 包装 完好无破损 果品 完整 无 坏果 很 大 感觉 人 都 吃 不 切 最 大 品尝 水份 十足 好吃 股 香香 香味 重要 很 新鲜 鲜嫩 多汁,5,2023-07-25 10:55:33
蜜柚 皮薄 肉 厚汁 颗粒 饱满 破 开 股 淡淡的 清香味 吃 起来 滑 滑 嫩嫩 还 挺 甜 水分 充足 美容 养颜 果肉 香甜 水分 充足 柚子 超甜 容易 开 开 更 漂亮 肉 皮 分离 不 会 粘 一起 果肉 红润 爆满 水分 充足 关键 还 很 容易 剥皮,5,2023-07-25 08:12:41
柚子皮 特别 薄 里 后 里边 果肉 都 红红的 玫瑰 坏果 都 没有 果子 非常 均匀 太阳 包装 挺 好 没有 破损 现象 柚子 头 大 小 均匀 捧 挺重 迫不及待 切开 皮 薄 果肉 挺 饱满 太阳 红色 果粒 非常 诱人 主要 价格 比较 实惠 闻 很 好吃 剥开 皮 薄 肉 越 吃 越 好吃,5,2023-07-26 06:43:34
蜜柚 收到 分量 很 足 完好 水果 产品 质量 保障 值得 信赖 购买 红心柚 个头 比较 大 分量 皮 薄 果肉 厚汁 水 充沛 划算 呐柚子 都 很 甜 果肉 很 足皮 很 薄 口 咬 下去 满满的 水分,5,2023-07-25 19:51:23
呵呵 吃 柴 没有 点 水分,1,2023-11-02 21:15:43
不好,5,2023-11-02 20:17:25
想 支持 一下 果农 都 不 容易 发 拳头 大 果子 无 语图 不 想 晒 斤数不足 没 必要 拳头 大 凑数,5,2023-11-02 10:14:47
太 难吃 全部 干 水 里面 好 老 吃 草 买 最 差 柚子,1,2023-11-01 23:35:50
点 老,3,2023-11-01 15:44:50
柚子 味道 好 甜 微酸 满意,5,2023-11-01 13:31:38
看看 差 干巴巴 感觉 存货点 水分 没有 味道,5,2023-10-31 11:21:20
质量 太 差 不 吃 点 水份 没有 还 咬 不 动,1,2023-10-31 00:25:18
颗粒 不 饱满 水分 小 干瘪 干瘪,5,2023-10-30 13:23:15
东西 收到 打开 坏 巨酸,5,2023-10-30 12:14:04
柚子 还 不 会 很 酸买 家里人 吃,5,2023-10-29 14:33:19
产品 质量 还 值得 购买,5,2023-10-29 10:02:14
一点 都 不 红 水分 不足 不大 箱 发 三,3,2023-10-29 07:39:48
干 不 喜欢,5,2023-10-29 00:09:49
产品 很 差 建议 不要 京东 购买 水果 真的 非常 差,1,2023-10-27 23:55:37
一共 四 够 新鲜,5,2023-10-27 23:21:10
柚子 比较 酸 水分 没有 太 柚子皮 很 厚,3,2023-10-27 11:24:59
买 最 好 口感 绝 果子 很 红 很 红 味道 很 正宗 切 出来 很 香 清新 味道 超级 水皮薄 肉 厚汁 颗粒 饱满 皮 很 薄 破 开 股 淡淡的 清香味 起来 柔柔滑 滑 嫩嫩的,5,2023-07-25 17:26:46
箱 三 特别 特别 新鲜 非常 好吃 一点 都 不 酸 本人 很 喜欢 点 赞点 赞点赞,5,2023-09-03 14:03:20
柚子 味道 很 喜欢 水分 很 足皮 薄肉厚 很 喜欢 下次 还 会 再,5,2023-08-06 11:49:21
物流 很快 服务 态度 好 包装 完整 价格 便宜 足 斤 足 两,5,2023-08-02 22:53:09
收到 物流 很 快 性价比 很 高 口感 很 好 味道 酸 甜 可口,5,2023-07-31 19:33:51
柚子 收到 质量 很 好 果肉 新鲜 好吃 很 甜,5,2023-07-31 11:43:45
次 购买 香香 柚子 非常 甜美 果肉 甜酸 刚 摘 不久 放 周 后 吃 起来 甜 甜 没有 一点 酸味 非常 满意 便宜 价格 尽然 买 红柚 吃 完 再 买 次,5,2022-09-21 17:20:08
双十一 买 购买 柚子 一共 买 不 很 大 水粉 很 足 很 甜 价格 比较 实惠 物流 速度 很 快 比较 愉快 次 购物 下次 还 购买 degforalldeg,5,2022-11-15 21:50:08
收到 红心柚 子 看 很 好 经济 实惠 产地 直发 没有 中间商 好评 吃 后 再 评价,5,2022-09-16 12:29:18
很 好吃 经常 京东 买 东西 家里 需要 都 买 买 送货 快 东西 好 双 十一 速度 照样 特别 快 非常 满意 以后 还 会 继续 购买,5,2022-11-11 20:02:42
箱 四 果子 都 非常 新鲜 非常 棒红心 柚子 营养 价值 高 很多 花青素 特别 喜欢 吃 以后 认得 家 五星 好评 必须,5,2023-10-23 20:06:37
柚子 太 干 不 很 新鲜,5,2023-10-23 16:12:27
个人 感觉 不好,1,2023-10-23 13:07:16
不好 干 干 没有 水分 皮那点 才 水 份,5,2023-10-23 12:17:23
次 购买 次 包装 第一 次 差 不 第一 次 礼盒 看 高端 不少 次 盒子 很 随意 果子 第一 次 大,5,2023-10-22 15:16:43
柚子 特别 好吃 甜甜 特别 好吃 酸甜 可口,5,2023-10-22 11:28:07
整体 来说 很 好 非常 值得 再次 回购 甜甜甜,5,2023-10-22 05:49:33
太 垃圾 不 知道 放 多久皮 都 干,1,2023-10-21 19:11:05
第次 网上 买 东西 棒捧棒 东西 便宜 质量 好 物美价廉 买 很 放心 很 开心 感觉 都 买 上瘾 买 买 买 根本 停 不 下来 东西 品种 特别 全 划算 方便 实惠 包装 很 好 没有 损坏 会 支持 下去 服务 还 超级 好 好评 下次 再,5,2023-10-21 15:35:45
水分 很 足 口味 不错,5,2023-10-21 12:30:18
很 小 果 水分 都 没有 价格 地方 买 质量 好,3,2023-10-19 20:37:31
果 一点 不 好吃 喝 白 开水 味道 不 甜 好歹 有点 酸味 味道 都 没有 都 不 知道 好评 不,1,2023-10-19 12:33:27
小 就算 皮厚 肉 还 酸差 很,5,2023-10-19 12:29:43
柚子 干 三分之一,3,2023-10-19 11:45:40
老妈 买 想 尝尝 鲜 没 想到 不 喜欢 吃 送 别人,5,2023-10-18 12:01:42
柚子 两 干心 还 敢 买,1,2023-10-17 23:22:51
不 福建发 货 不 联系 南宁 发 货 要不得,5,2023-10-16 22:25:22
真 不错 回 购买 点 非常 好吃 果味儿 特别 朋友 两 都 说 不错 皮 非常 薄 大小 基本上 两 大 小 地区 购买 便宜 快递 快 两三 天 收到,5,2022-10-27 17:34:40
柚子味 很 好 闻 味道 很 好 闻 很 喜欢 下次 还 会 再 柚子 很 新鲜 头 很 大 很 大 个个 都 很 饱满 柚子 味道 很 好 闻 水分 很 足 味道 很 好 闻 很 好 闻 柚子味 特别 好吃 下次 还 会 购买,5,2022-10-22 22:38:08
大中小三 先 开 小 很 惊喜 水分 很多 最近 吃 红心柚 网购 店 里 二十 买 都 红 都 没 水分 足 快递 驿站 放 三 天 才 口感 新鲜 真 不错 性价比 高 希望 两 品质 好,5,2022-10-06 11:17:49
红心柚 子 味道 很 好 甜 香败 火 性价比 高,5,2022-09-17 01:30:43
柚子 太 好吃 水分 十足 甘甜 可口 福建 琯溪 蜜柚 名不虚传 次 吃 掉 整个 想 买 别 犹豫 赶紧 下单 今年 天气 还 柚子 真 不 容易,5,2022-09-15 20:54:13
味道 还 不错 酸甜 口味 大 三 小 五星 好评,5,2022-09-15 15:14:46
宝贝 特别 喜欢 颜值 高 质量 好 中 看 中 需要 朋友 不要 犹豫 最后 祝 商家 生意 兴隆 本来 还 很 担心 东西 不好 手 发现 完全 虑 五星 好评 真的 很 好 性价比 很 高 质量 很 好 物流 快 天 到货 物美价廉 很 ok 实体店 优惠 太,5,2022-09-12 11:12:59
福建 柚子 名 扬 海内外 非常 新鲜 刚 摘 不久 光滑 翠嫩 外皮 闻 柚橘 清香 再 保存 一两 月 打开 红心柚 香甜 汁 颗粒 饱满 没有 一点酸 非常 意外 随机 购买 京东 买 实惠 物 美 柚子 怕 错过 赶紧 下 单,5,2022-09-07 18:30:06
很 甜 很 好吃 小孩 很 爱 吃,5,2021-07-06 20:06:04
皮太 厚,3,2023-10-14 17:14:37
好评 都 刷 果子 干 点 水分 没有 味同嚼蜡,1,2023-10-14 15:53:32
柚子皮 薄馅大 非常 好吃 会 回购,5,2023-10-14 14:15:54
柚子 水份 充足 个头 挺 大,5,2023-10-14 09:29:56
味道 不行 下次 不 买,1,2023-10-14 07:39:55
柚子 好吃 水分 足 小孩子 喜欢 吃,5,2023-10-13 23:04:15
非常 好吃 感谢 果农 带 美味柚,5,2023-10-13 17:57:02
好多 比较 干 差评 差评 差评,2,2023-10-12 12:34:50
不好 吃 特别 干 没有 水 份 快递 还 特别 慢 买 最 差 柚子,5,2023-10-10 19:07:40
斤 两 够 足 柚子 很 大 放 还 没 吃,5,2023-10-10 13:00:28
拍 单 两 箱 就算 柚子 还 小 小 柚子皮 软 差评,3,2023-10-09 13:20:54
纸箱 全部 破损,3,2023-10-09 10:41:08
吃 好吃 干班 瓣瓣,5,2023-10-08 11:35:53
放 好几 天 才 吃 感觉 还 行,5,2023-10-07 20:31:56
大 柚子 有点 酸小 甜 柚子 很 好吃 发货 速度 很快,5,2023-10-07 17:47:57
皮太厚,3,2023-10-07 16:55:56
很 好 商品 收到 包装 很 好 物流 非常 快 客服 态度 很 积极 问题 及时 解答 总体 来说 非常 满意,5,2023-10-07 07:27:29
柚子 很 甜 很 好吃 下次 再 买,5,2023-10-06 20:07:37
差评皮 特别 厚 不 够 秤 很 差 次 购物 体验感 很 差 没有,1,2023-10-06 17:29:18
很 甜 水分 很 足 物流 比较 给力,5,2023-10-05 17:46:16
收到 很 新鲜 很 好吃 很 甜 满意,5,2021-07-20 14:02:51
个头 大 还 很 新鲜 迫不及待 打开 品尝 特别 新鲜 汁水 很多 特别 好吃 味道 很 好比 超市 买 好 很多 大红柚 剥 开 后 看 好 馋 嘻嘻 爱 吃 红柚,5,2021-07-19 14:52:50
柚子 很 好吃 喜欢 下手,5,2021-07-21 14:20:32
今年 第一 次 网上 买 柚子 突然 看到 京东 秒杀 段 下 单 快递 天 包装 很 好 没有 损坏 个头 差不多 大 共有 回 家崽 吃 晚上 吃 天 吃 还 没 拍 视频 只 剩 拍 视频 红心柚 吃 起来 不 酸 淡淡的 甜味 都 觉得 味道 刚刚 好 非常 好吃 现在 需要 继续 购 好吃 东西 帮 老板 做 口碑,5,2021-09-08 14:05:51
京东 买 好几 次 很 不错 吃 起来 不 酸 打开 第一 没 控制 住 人 吃 一大半 水份 很 足 个人 觉得 店 里 买 好 一点 吃 完 买,5,2021-11-17 20:21:59
款 柚子 第一 次 购买 看 很 好 个头 比较 大 味道 吃 再 追评 应该 还 相信 京东 平台 质量 保证 五星 好评,5,2021-12-31 20:42:35
红色 柚子肉 非常 喜欢 头 都 挺 大 非常 重量 感觉 水份 很 充足 吃 以后 才 发现 很 好 酸 甜 可口 下次 还 买,5,2021-07-20 01:57:36
水分 足 非常 甜 一点儿 都 不 酸 推荐,5,2021-11-02 12:04:08
东西 不错 优惠 放心 省钱 购买 不要 犹豫 很 满意 次 购物 商家 服务 好 发货 神速 物流 很 给力 宝贝 收到 后 非常 喜欢 买 放心 安心 实用性 颜值 都 非常 赞 很 喜欢 还 会 再 买 五星 好评 非常 好 想 不 快 细节 非常 完美 整体 来说 真 很 不错 性价比 很 高 下次 还 会 继续 光顾 价格 实惠 质量 杠杠的 非常 好 次 购物 下次 还 价格 实惠 质量 杠杠的 非常 好 次 购物 下次 还 材质 很 好 质量 不错 货 很快,5,2021-10-12 13:56:58
